symbol,asof_date,close,avg_turnover_60d
CAPLIPOINT,2026-08-07,2574.10009765625,449153221.1278361
CARBORUNIV,2026-08-07,1097.0,354290653.42247313
CARTRADE,2026-08-07,2793.0,2587086588.4028444
CASTROLIND,2026-08-07,192.0800018310547,291213050.39485496
CCL,2026-08-07,1130.0,428303677.56351525
CDSL,2026-08-07,1328.0,2364432756.625901
CEATLTD,2026-08-07,3723.10009765625,580773788.2115967
CEMPRO,2026-08-07,1208.0999755859375,918368908.2247406
CENTRALBK,2026-08-07,31.360000610351562,473368083.198828
CESC,2026-08-07,163.94000244140625,285456717.9289986
CGCL,2026-08-07,230.25,1005407229.663383
CGPOWER,2026-08-07,879.0,4072099195.2833037
CHALET,2026-08-07,859.7000122070312,117762253.31166281
CHAMBLFERT,2026-08-07,450.70001220703125,428950742.49056953
CHENNPETRO,2026-08-07,1275.4000244140625,1690236719.3999267
CHOICEIN,2026-08-07,841.1500244140625,698749101.2949473
CHOLAFIN,2026-08-07,1866.199951171875,2826912785.794924
CHOLAHLDNG,2026-08-07,1628.0,294292181.4063619
CIEINDIA,2026-08-07,410.5,172084606.76091918
CIPLA,2026-08-07,1463.800048828125,2411544629.559688
CLEAN,2026-08-07,795.1500244140625,315948838.98505557
COALINDIA,2026-08-07,415.25,5309946756.964174
COCHINSHIP,2026-08-07,1519.699951171875,2064345749.591156
COFORGE,2026-08-07,1776.0,5436852948.677853
COHANCE,2026-08-07,445.75,657432973.4554917
COLPAL,2026-08-07,2030.0,879129665.2011739
CONCOR,2026-08-07,505.20001220703125,1049707735.7778991
CONCORDBIO,2026-08-07,1365.0,391561984.41490275
COROMANDEL,2026-08-07,2069.300048828125,592150646.9264302
CPPLUS,2026-08-07,3708.699951171875,974131329.3653401
CRAFTSMAN,2026-08-07,10483.0,690065582.8083333
CREDITACC,2026-08-07,1523.5999755859375,525949452.534021
CRISIL,2026-08-07,4607.0,258022729.55659586
CROMPTON,2026-08-07,249.9499969482422,917709381.2628105
CUB,2026-08-07,212.0,667992839.0337145
CUMMINSIND,2026-08-07,5426.0,2793962152.133333
CYIENT,2026-08-07,857.5,404670725.6421031
DABUR,2026-08-07,410.0,961953722.5074676
DALBHARAT,2026-08-07,1827.4000244140625,492178410.44769895
DATAPATTNS,2026-08-07,4380.7001953125,5114567612.017187
DCMSHRIRAM,2026-08-07,1016.7999877929688,113523091.32111715
DEEPAKFERT,2026-08-07,1537.800048828125,673916384.4557637
DEEPAKNTR,2026-08-07,1796.5,430429243.4282166
DELHIVERY,2026-08-07,473.29998779296875,2119653532.4753306
DEVYANI,2026-08-07,134.72999572753906,442443558.4528729
DIVISLAB,2026-08-07,8275.0,3242343022.525
DIXON,2026-08-07,14200.0,7321399957.5
DLF,2026-08-07,642.0,2802742497.518746
DMART,2026-08-07,3900.0,2439940087.603593
DOMS,2026-08-07,2260.60009765625,453148770.13919675
DRREDDY,2026-08-07,1172.0,2828066122.117212
ECLERX,2026-08-07,1769.0999755859375,675621650.7347513
EICHERMOT,2026-08-07,8020.0,4491704991.533334
EIDPARRY,2026-08-07,805.0999755859375,267609682.68578288
EIHOTEL,2026-08-07,306.54998779296875,71607965.87292989
ELECON,2026-08-07,437.8500061035156,323308194.07674915
ELGIEQUIP,2026-08-07,588.4500122070312,293510888.9403076
EMAMILTD,2026-08-07,412.54998779296875,260873873.47900492
EMCURE,2026-08-07,1978.4000244140625,324322615.8901001
EMMVEE,2026-08-07,318.8999938964844,1201424561.553806
ENDURANCE,2026-08-07,2904.5,372311799.3159383
ENGINERSIN,2026-08-07,240.60000610351562,810856866.150999
ENRIN,2026-08-07,3648.800048828125,2597634550.781954
ERIS,2026-08-07,1382.4000244140625,165517433.71941122
ESCORTS,2026-08-07,3080.0,431604850.9964274
ETERNAL,2026-08-07,315.0,8790788337.105442
EXIDEIND,2026-08-07,490.0,2086620006.6039195
FACT,2026-08-07,839.4000244140625,442215709.3181305
FEDERALBNK,2026-08-07,356.25,3601297893.545271
FINCABLES,2026-08-07,1024.6500244140625,477192477.91196495
FIRSTCRY,2026-08-07,214.1999969482422,523411036.2367205
FIVESTAR,2026-08-07,543.25,569792288.1105524
FLUOROCHEM,2026-08-07,4518.10009765625,565408972.1654541
FORCEMOT,2026-08-07,18500.0,2029582070.3666666
FORTIS,2026-08-07,955.1500244140625,1376926302.8485575
FSL,2026-08-07,279.8500061035156,1013686055.9220922
GABRIEL,2026-08-07,1499.800048828125,755309739.4996501
GAIL,2026-08-07,173.6300048828125,1801827201.159912
GALLANTT,2026-08-07,605.5,121367501.98484191
GESHIP,2026-08-07,1341.800048828125,2167876055.3913674
GICRE,2026-08-07,357.20001220703125,401147185.0652944
GILLETTE,2026-08-07,7683.5,194293204.65
GLAND,2026-08-07,2601.0,1759691580.691268
GLAXO,2026-08-07,2599.699951171875,251181595.65550944
GLENMARK,2026-08-07,2279.10009765625,1461000945.7789836
GMDCLTD,2026-08-07,582.7999877929688,1000801333.0879883
GMRAIRPORT,2026-08-07,107.19999694824219,2211972202.809683
GODFRYPHLP,2026-08-07,2286.0,1183925982.4843059
GODIGIT,2026-08-07,272.25,292814773.4336014
GODREJCP,2026-08-07,1050.0,1181941618.4832804
GODREJIND,2026-08-07,1311.5,391956809.2746094
GODREJPROP,2026-08-07,2070.0,1400799668.7019572
GPIL,2026-08-07,240.61000061035156,712740905.5525333
GRANULES,2026-08-07,873.8499755859375,994927025.3042816
GRAPHITE,2026-08-07,709.9500122070312,956641315.1980835
GRASIM,2026-08-07,3323.0,2288398518.218233
GRAVITA,2026-08-07,1732.0999755859375,420852020.71243083
GROWW,2026-08-07,190.5,6630813365.815277
GRSE,2026-08-07,2599.0,2051066546.3810995
GVT&D,2026-08-07,4299.0,4932602080.008805
HAL,2026-08-07,4910.0,4440477482.50459
HAVELLS,2026-08-07,1288.0,1319051629.4253683
HBLENGINE,2026-08-07,727.0999755859375,958230203.5462168
HCLTECH,2026-08-07,1356.5999755859375,4790348717.040202
HDBFS,2026-08-07,665.6500244140625,479847644.23971355
HDFCAMC,2026-08-07,2545.0,2325163949.1079917
HDFCBANK,2026-08-07,731.0,27445689145.836815
HDFCLIFE,2026-08-07,540.0,2026835231.9420238
HEG,2026-08-07,674.0,1038379486.9713979
HEROMOTOCO,2026-08-07,5725.0,3553264841.6951904
HEXT,2026-08-07,564.5999755859375,603054914.5897603
HFCL,2026-08-07,207.97999572753906,6847315957.883882
HINDALCO,2026-08-07,1059.5999755859375,6172787657.264151
HINDCOPPER,2026-08-07,536.0999755859375,2483851716.0176945
HINDPETRO,2026-08-07,393.04998779296875,2636175574.3405185
HINDUNILVR,2026-08-07,2096.0,4253114544.566862
HINDZINC,2026-08-07,603.0,2435185671.1059446
HOMEFIRST,2026-08-07,1193.800048828125,254701450.81644693
HONASA,2026-08-07,477.6000061035156,1141445521.7430272
HONAUT,2026-08-07,37900.0,408911527.8333333
HSCL,2026-08-07,752.6500244140625,7764442097.960961
HUDCO,2026-08-07,201.0399932861328,573288423.9372724
HYUNDAI,2026-08-07,2200.5,2471906851.4245076
ICICIAMC,2026-08-07,3072.800048828125,1564190869.4577475
ICICIBANK,2026-08-07,1421.0,19834321970.037876
ICICIGI,2026-08-07,1639.0,1715268011.6325095
ICICIPRULI,2026-08-07,501.04998779296875,997025080.0199325
IDBI,2026-08-07,84.22000122070312,1397597083.8872106
IDEA,2026-08-07,12.729999542236328,6415378467.664954
IDFCFIRSTB,2026-08-07,84.62000274658203,2022931470.502623
IEX,2026-08-07,127.0999984741211,701604164.300607
IFCI,2026-08-07,73.9800033569336,4700610472.943402
IGIL,2026-08-07,355.79998779296875,260534455.0221049
IGL,2026-08-07,151.94000244140625,481536440.21615094
IIFL,2026-08-07,611.75,1280735168.300149
IKS,2026-08-07,1737.699951171875,377660545.71501464
INDGN,2026-08-07,554.4500122070312,173834214.39481252
INDHOTEL,2026-08-07,731.0,1749482931.8940368
INDIACEM,2026-08-07,398.1499938964844,106879503.10770111
INDIAMART,2026-08-07,1755.0,209413541.95511067
INDIANB,2026-08-07,889.5,2694728737.7797008
INDIGO,2026-08-07,5333.0,5581663541.364062
INDUSINDBK,2026-08-07,1022.0,2139732584.247827
INDUSTOWER,2026-08-07,386.0,2597964264.212771
INFY,2026-08-07,1175.0999755859375,17119116459.365686
INOXWIND,2026-08-07,78.0,1060740757.8707201
INTELLECT,2026-08-07,721.3499755859375,390346742.1537994
IOB,2026-08-07,34.2599983215332,139076651.57061717
IOC,2026-08-07,143.3800048828125,2005691061.941312
IPCALAB,2026-08-07,1735.800048828125,463711798.6382507
IRB,2026-08-07,19.68000030517578,446337721.56605
IRCON,2026-08-07,131.25,225292982.96155918
IRCTC,2026-08-07,519.9500122070312,473422109.91237134
IREDA,2026-08-07,119.80000305175781,766626240.3921267
IRFC,2026-08-07,88.75,1065562150.6291038
